player_id,finishing,heading_accuracy,short_passing,volleys,dribbling,free_kick_accuracy,long_passing,sprint_speed,balance,shot_power,stamina,interceptions,penalties,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
30895,62,38,67,69,88,53,59,94,76,68,84,60,70,12,25,59,25,25
30895,62,38,67,69,88,53,59,95,76,68,84,60,67,12,25,59,25,25
30895,62,38,70,69,93,53,59,95,76,68,84,60,67,12,25,59,25,25
30895,64,49,77,69,94,53,59,92,76,72,86,73,74,12,25,59,25,25
30895,61,49,69,69,86,66,48,90,76,70,84,73,66,12,8,48,13,14
23889,53,76,73,32,64,66,67,67,59,47,67,71,34,7,5,13,13,13
23889,53,76,76,32,64,66,69,67,59,47,70,71,34,7,5,13,13,13
23889,53,76,76,32,64,66,69,67,71,47,70,71,34,7,5,13,13,13
23889,58,82,80,32,69,67,72,69,71,47,72,74,34,7,5,13,13,13
23889,58,82,84,32,69,67,73,69,71,47,73,68,69,6,25,73,25,25
23889,58,82,84,32,69,67,73,69,71,47,73,68,69,6,25,73,25,25
23889,58,82,84,32,69,67,73,69,71,47,73,68,69,6,25,73,25,25
23889,58,82,84,32,69,69,73,69,71,47,73,68,69,6,5,73,11,6
75489,75,58,83,79,81,70,80,69,75,81,92,69,75,6,11,5,10,8
75489,75,58,83,79,81,70,80,69,75,81,92,69,75,6,11,5,10,8
75489,75,58,83,79,81,70,81,69,75,81,92,69,75,6,11,5,10,8
75489,75,58,83,79,81,70,81,69,75,81,92,69,75,6,11,5,10,8
75489,75,58,84,81,81,70,82,68,75,81,93,67,76,6,11,5,10,8
75489,75,58,84,81,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,77,58,84,81,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,77,58,84,78,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,77,58,84,78,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,76,58,84,76,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,76,58,84,76,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,76,58,84,76,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,76,58,84,76,81,70,82,69,75,81,93,72,76,6,11,5,10,8
75489,74,58,83,74,81,70,82,69,75,81,92,67,76,6,11,5,10,8
75489,74,55,83,74,81,70,82,69,75,81,92,67,76,6,11,5,10,8
75489,74,55,83,74,81,70,82,69,75,81,92,67,76,6,11,5,10,8
75489,74,55,83,73,81,70,82,68,75,81,92,66,76,6,11,5,10,8
75489,74,55,83,73,81,70,82,68,75,81,92,66,76,6,11,5,10,8
75489,74,55,83,73,79,70,82,66,74,81,92,66,76,6,11,5,10,8
75489,74,55,83,73,79,70,82,66,74,81,92,66,76,6,11,5,10,8
75489,69,55,83,73,79,70,82,66,74,75,92,66,76,6,11,5,10,8
75489,69,55,83,73,79,70,81,66,70,75,92,66,76,6,11,5,10,8
75489,67,55,82,70,79,70,80,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,82,70,79,70,80,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,82,70,79,70,80,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,66,70,73,92,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,75,70,73,90,66,76,6,11,5,10,8
75489,67,55,83,70,79,70,81,75,70,73,83,66,76,6,11,5,10,8
75489,67,55,85,70,79,70,83,75,68,73,81,66,71,6,11,5,10,8
75489,67,55,82,70,77,70,82,75,68,73,79,66,71,6,11,5,10,8
75489,69,59,80,70,76,70,79,75,67,73,79,66,65,6,11,5,10,8
75489,73,59,83,73,75,70,79,76,67,77,78,69,65,6,11,5,10,8
75489,73,59,83,73,75,70,79,78,67,77,80,82,79,8,21,79,21,21
75489,61,59,80,73,74,66,75,78,67,77,80,70,76,8,21,75,21,21
75489,61,59,79,73,74,58,72,78,67,74,80,60,76,8,21,72,21,21
75489,61,59,78,73,70,58,67,78,67,69,76,56,76,8,21,67,21,21
75489,61,59,78,73,70,58,67,78,67,69,76,56,76,8,21,67,21,21
23499,67,78,68,56,49,42,39,53,52,69,53,24,73,12,13,10,10,9
23499,67,78,68,56,49,42,39,53,52,69,53,24,73,12,13,10,10,9
23499,67,78,68,56,49,42,39,53,52,69,53,24,73,12,13,10,10,9
23499,67,78,68,56,49,42,39,53,52,69,53,24,73,12,13,10,10,9
23499,66,77,67,55,48,41,38,57,52,68,68,23,72,11,12,9,9,8
23499,66,77,67,55,48,41,38,57,52,68,68,23,72,11,12,9,9,8
23499,66,77,67,55,48,41,38,57,52,68,68,23,72,11,12,9,9,8
23499,66,77,67,55,48,41,38,53,52,68,68,23,72,11,12,9,9,8
23499,66,77,65,55,48,41,38,54,52,68,63,23,72,24,23,21,21,25
23499,66,77,64,55,48,41,38,54,52,68,63,23,72,24,23,21,21,25
23499,66,77,64,55,48,41,38,54,52,68,63,23,72,24,23,21,21,25
23499,66,75,60,55,48,41,38,54,61,68,54,23,72,24,23,21,21,25
23499,66,75,56,55,48,41,38,54,54,68,48,23,72,24,23,21,21,25
23499,66,75,45,55,42,41,38,54,56,68,48,23,72,33,30,39,31,30
23499,66,75,45,55,42,41,38,54,56,68,48,23,72,14,13,7,11,15
23499,69,75,45,55,45,41,38,64,67,68,61,23,54,14,13,7,11,15
23499,64,71,45,55,45,41,38,63,65,65,61,23,53,14,13,7,11,15
23499,67,71,45,55,49,41,38,63,65,65,58,51,59,10,21,38,21,21
23499,65,62,40,55,49,41,33,63,65,63,58,49,56,10,21,33,21,21
23499,63,59,40,55,49,41,33,60,65,60,60,49,56,10,21,33,21,21
23499,48,57,40,55,46,41,33,55,65,50,49,48,50,10,21,33,21,21
23499,48,57,40,55,46,50,33,55,65,50,49,48,50,10,8,33,14,6
40005,45,72,51,34,40,29,55,33,47,55,52,65,33,10,14,10,14,7
40005,45,75,51,34,40,29,55,33,47,55,52,66,33,10,14,10,14,7
40005,45,75,51,34,40,29,55,33,47,55,52,66,33,10,14,10,14,7
40005,45,76,52,34,40,29,56,31,47,40,52,68,33,10,14,10,14,7
40005,45,76,52,34,40,29,56,31,47,40,52,68,33,10,14,10,14,7
40005,45,76,52,34,40,29,56,31,47,40,52,68,33,10,14,10,14,7
40005,45,79,52,34,40,29,56,49,47,40,52,69,33,10,14,10,14,7
40005,45,79,52,34,40,29,56,49,47,40,52,69,33,10,14,10,14,7
40005,45,81,52,34,40,29,56,63,77,40,66,74,33,10,14,10,14,7
40005,45,81,52,34,41,29,56,69,77,40,71,74,33,10,14,10,14,7
40005,45,80,57,34,51,29,63,70,77,50,73,65,58,11,25,63,25,25
40005,21,80,52,34,45,24,60,65,77,55,63,61,59,11,25,60,25,25
40005,25,80,60,34,59,24,66,62,77,43,63,66,67,11,25,66,25,25
40005,25,80,60,34,59,24,66,62,77,43,63,66,67,11,25,66,25,25
40005,18,70,60,34,59,67,66,58,77,63,63,66,67,11,7,66,6,9
37280,26,72,51,30,31,28,47,34,45,45,58,62,52,6,15,7,14,12
37280,26,72,51,30,31,28,47,34,45,45,58,62,52,6,15,7,14,12
37280,26,72,51,30,31,28,47,34,45,45,58,62,52,6,15,7,14,12
