,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Month,Day,HmGoals,Hmassists,awGoals,awassists
2479,8654,9826,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,4,5,6,3,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,8,6,8,10,10,10,169756,214685.0,109897,35110,155782.0,37169,23678.0,148302.0,30892.0,192899.0,195927.0,22998,146830.0,23837.0,23030,154271.0,149917.0,8985.0,35345.0,198510.0,160194.0,35523.0,2,28,33.0,38.0,60.0,55.0
2480,10252,8659,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,69650,32870.0,257847,161414,183715.0,160713,182223.0,78324.0,23264.0,148315.0,29581.0,24147,169162.0,32441.0,33086,23257.0,25075.0,113968.0,24148.0,24171.0,115160.0,239807.0,3,3,22.0,23.0,197.0,122.0
2481,8667,8472,1,3,5,7,1,3,5,7,9,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,7,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32496,24531.0,35480,40132,111930.0,115681,24656.0,131583.0,357880.0,101969.0,8922.0,103428,188540.0,24150.0,30362,32579.0,109058.0,113908.0,25150.0,35443.0,38759.0,30348.0,3,3,21.0,18.0,62.0,23.0
2482,10172,9825,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,36374,609733.0,24209,176889,245530.0,127133,156727.0,35466.0,113465.0,24741.0,187266.0,50065,427438.0,35606.0,177503,78513.0,37436.0,159594.0,31435.0,36378.0,50047.0,46469.0,3,4,22.0,17.0,96.0,81.0
2483,8466,9826,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,5,2,4,6,8,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,8,8,8,8,11,95336,157838.0,26552,72665,46010.0,166676,46893.0,26675.0,178538.0,303339.0,41280.0,22998,146830.0,23837.0,23030,154271.0,28901.0,198510.0,35345.0,22929.0,160194.0,363340.0,3,3,16.0,13.0,46.0,22.0
2484,8654,8455,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11,169756,214685.0,109897,35110,155782.0,148302,37169.0,23933.0,30892.0,192899.0,195927.0,170323,31306.0,23783.0,30627,72541.0,30613.0,281207.0,79574.0,128864.0,107417.0,19243.0,3,4,15.0,16.0,161.0,140.0
2485,8650,8191,1,3,5,7,2,4,6,8,3,5,7,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,7,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,9,11,37868,307021.0,22764,114268,47558.0,156008,314605.0,246575.0,184536.0,37234.0,51553.0,24155,191869.0,290410.0,23134,240538.0,32304.0,37240.0,25415.0,32148.0,107280.0,214426.0,3,4,52.0,38.0,122.0,75.0
2486,8456,8197,1,2,4,6,8,2,4,6,8,4,6,1,1,3,5,7,9,2,4,6,8,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,3,7,7,7,7,11,31432,26111.0,30459,156551,16351.0,33991,101103.0,36615.0,37459.0,37412.0,143365.0,30633,49571.0,23571.0,38899,23818.0,24781.0,278343.0,173408.0,30930.0,214570.0,173461.0,3,4,19.0,49.0,221.0,122.0
2487,10261,10260,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,5,4,6,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,8,8,10,10,10,24229,104482.0,24899,30929,24890.0,39968,301234.0,94550.0,264840.0,161420.0,46700.0,182917,35327.0,165823.0,43248,161035.0,161012.0,164676.0,39618.0,46509.0,30829.0,23354.0,3,4,12.0,27.0,84.0,66.0
2488,10194,8668,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,46518,36786.0,200962,47418,37194.0,23253,109621.0,33881.0,39109.0,106228.0,30830.0,31465,77690.0,263653.0,23268,191132.0,101192.0,23782.0,24156.0,30895.0,181276.0,32705.0,3,4,18.0,22.0,190.0,113.0
2489,8586,10003,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,26295,159833.0,361315,37762,46353.0,500520,160448.0,166422.0,157723.0,110189.0,194165.0,30973,111800.0,155050.0,24948,102356.0,144996.0,46008.0,157729.0,127130.0,38831.0,26344.0,3,4,18.0,27.0,78.0,38.0
2490,9825,8654,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,50065,425255.0,35606,46539,38521.0,159594,75489.0,31013.0,36378.0,50047.0,46469.0,169756,23931.0,24751.0,148302,155782.0,23678.0,37169.0,30892.0,23933.0,23538.0,192899.0,3,14,20.0,8.0,139.0,100.0
