,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Month,Day
0,9825,8654,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,5,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,6,8,10,10,30859,26154.0,35606,46539,38521,159594,37436,75489.0,36378,196386,46469,169756,109897.0,35110,49543,155782,37169,575789,148302,25496,18506,192899,8,9
1,8678,10252,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,30974,35515.0,24625,156013,68237,155913,46810,23629.0,24381,185236,184321,69650,183500.0,24208,161414,473853,261313,179410,182223,23991,154280,23264,8,8
2,8455,10003,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,170323,31306.0,23783,30627,72541,115067,30613,94086.0,128864,107417,19243,30973,111800.0,155050,24948,102356,127130,144996,95955,157729,52563,26344,8,8
3,8668,9817,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,31465,77690.0,263653,23268,316688,23782,101192,26151.0,160713,215384,181276,30455,213809.0,41927,40548,35712,41365,30966,24915,37411,71724,72436,8,8
4,8197,8472,1,3,5,7,2,4,6,8,5,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,7,7,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10,37770,67850.0,38899,23571,139671,103419,173317,214570.0,278343,20694,286119,103428,22964.0,26108,165526,180330,35443,25150,109058,24159,30348,42598,8,8
5,10260,8586,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,109060,46820.0,165823,161012,362694,34944,46893,41468.0,303824,23354,30829,37193,159833.0,160599,37762,276121,500520,361315,41008,157723,110189,194165,8,8
6,10261,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,24229,104482.0,30929,277761,240236,109652,160243,94550.0,108038,39968,46700,30841,160627.0,26552,72665,538112,23792,166676,94267,303339,109491,41280,8,9
7,9850,9826,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,9,11,40602,32616.0,24903,26209,231801,46354,24583,40100.0,35493,32734,37779,119079,146830.0,23837,23030,183519,35345,26160,28901,198510,149917,35523,8,8
8,10194,8650,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,5,4,6,3,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,8,6,6,8,8,11,288880,34036.0,119541,173382,37194,199291,23253,33881.0,39109,26434,72735,37868,157838.0,114268,22764,568571,184536,156008,38807,280653,37234,148315,8,9
9,8659,8456,1,4,8,6,2,4,8,2,6,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,23021,169162.0,23257,33086,163200,25075,175947,24171.0,24148,39225,239807,31432,26111.0,39027,156551,16351,36615,40196,33991,37459,246575,143365,8,10
